"Line","LineType","FromBus","ToBus","Reactance","FlowLimitForw","FlowLimitBack","FOR"
"F-180.To.F-185","AC","F-180","F-185",0.02384,10000,10000,0.003
"F-189.To.F-181","AC","F-189","F-181",0.03976,10000,10000,0.003
"F-181.To.F-195","AC","F-181","F-195",0.04641,10000,10000,0.003
"F-182.To.F_Cornie","AC","F-182","F_Cornie",0.01726,10000,10000,0.003
"F-185.To.F-183","AC","F-185","F-183",0.01871,10000,10000,0.003
"F-186.To.F-183","AC","F-186","F-183",0.10348,10000,10000,0.003
"F-183.To.F-201","AC","F-183","F-201",0.04738,10000,10000,0.003
"F-183.To.F-203","AC","F-183","F-203",0.06231,10000,10000,0.003
"F-183.To.F-208","AC","F-183","F-208",0.09595,10000,10000,0.003
"F-209.To.F-183","AC","F-209","F-183",0.03708,10000,10000,0.003
"F-227.To.F-183","AC","F-227","F-183",0.1503,10000,10000,0.003
"F-183.To.F-255","AC","F-183","F-255",0.09254,10000,10000,0.003
"F-195.To.F_BoisTo","AC","F-195","F_BoisTo",0.00447,10000,10000,0.003
"F-196.To.F-185","AC","F-196","F-185",0.02586,10000,10000,0.003
"F-186.To.F-188","AC","F-186","F-188",0.02776,10000,10000,0.003
"F-187.To.F-204","AC","F-187","F-204",0.00851,10000,10000,0.003
"F-188.To.F-193","AC","F-188","F-193",0.0515,10000,10000,0.003
"F-189.To.F-195","AC","F-189","F-195",0.05062,10000,10000,0.003
"F-190/19.To.F-196","AC","F-190/19","F-196",0.02757,10000,10000,0.003
"F-197.To.F-190/19","AC","F-197","F-190/19",0.08458,10000,10000,0.003
"F-190/19.To.F-221/22","AC","F-190/19","F-221/22",0.11535,10000,10000,0.003
"F_Cornie.To.F-194","AC","F_Cornie","F-194",0.02775,10000,10000,0.003
"F-195.To.F_Cornie","AC","F-195","F_Cornie",0.02172,10000,10000,0.003
"F-195.To.F_Cornie.(2)","AC","F-195","F_Cornie",0.06123,10000,10000,0.003
"F-193.To.F-199","AC","F-193","F-199",0.01837,10000,10000,0.003
"F-193.To.F-200","AC","F-193","F-200",0.08868,10000,10000,0.003
"F-193.To.F-213","AC","F-193","F-213",0.07049,10000,10000,0.003
"F-193.To.F-220","AC","F-193","F-220",0.01358,10000,10000,0.003
"F-198.To.F-194","AC","F-198","F-194",0.03318,10000,10000,0.003
"F-202.To.F-195","AC","F-202","F-195",0.0467,10000,10000,0.003
"F-206.To.F-195","AC","F-206","F-195",0.07352,10000,10000,0.003
"F-195.To.F-210","AC","F-195","F-210",0.01161,10000,10000,0.003
"F-195.To.F-211","AC","F-195","F-211",0.02967,10000,10000,0.003
"F-195.To.F-215","AC","F-195","F-215",0.12109,10000,10000,0.003
"F-196.To.F-207","AC","F-196","F-207",0.02631,10000,10000,0.003
"F-196.To.F-224","AC","F-196","F-224",0.01266,10000,10000,0.003
"F-197.To.F-207","AC","F-197","F-207",0.03803,10000,10000,0.003
"F-197.To.F-221/22","AC","F-197","F-221/22",0.15867,10000,10000,0.003
"F-198.To.F-212","AC","F-198","F-212",0.03936,10000,10000,0.003
"F-199.To.F-204","AC","F-199","F-204",0.03738,10000,10000,0.003
"F-201.To.F-205","AC","F-201","F-205",0.02539,10000,10000,0.003
"F-214.To.F-201","AC","F-214","F-201",0.04554,10000,10000,0.003
"F-211.To.F-202","AC","F-211","F-202",0.05275,10000,10000,0.003
"F-227.To.F-203","AC","F-227","F-203",0.10425,10000,10000,0.003
"F-204.To.F-206","AC","F-204","F-206",0.01307,10000,10000,0.003
"F-204.To.F-215","AC","F-204","F-215",0.01189,10000,10000,0.003
"F-204.To.F-215.(2)","AC","F-204","F-215",0.0264,10000,10000,0.003
"F-206.To.F-215","AC","F-206","F-215",0.02515,10000,10000,0.003
"F-227.To.F-208","AC","F-227","F-208",0.06004,10000,10000,0.003
"F-247.To.F-209","AC","F-247","F-209",0.0645,10000,10000,0.003
"F-210.To.F-215","AC","F-210","F-215",0.00684,10000,10000,0.003
"F-210.To.F-215.(2)","AC","F-210","F-215",0.04894,10000,10000,0.003
"F-210.To.F-223","AC","F-210","F-223",0.01637,10000,10000,0.003
"F-211.To.F-218","AC","F-211","F-218",0.0377,10000,10000,0.003
"F-211.To.F-219","AC","F-211","F-219",0.01001,10000,10000,0.003
"F-211.To.F-223","AC","F-211","F-223",0.00813,10000,10000,0.003
"F-211.To.F-228","AC","F-211","F-228",0.05625,10000,10000,0.003
"F-211.To.F-228.(2)","AC","F-211","F-228",0.05384,10000,10000,0.003
"F-212.To.F-217","AC","F-212","F-217",0.02822,10000,10000,0.003
"F-212.To.F-218","AC","F-212","F-218",0.03014,10000,10000,0.003
"F-213.To.F-220","AC","F-213","F-220",0.03582,10000,10000,0.003
"F-214.To.F-234","AC","F-214","F-234",0.06699,10000,10000,0.003
"F-215.To.F-216","AC","F-215","F-216",0.08218,10000,10000,0.003
"F-215.To.F-223","AC","F-215","F-223",0.02145,10000,10000,0.003
"F-215.To.F-225","AC","F-215","F-225",0.02595,10000,10000,0.003
"F-225.To.F-215.(2)","AC","F-225","F-215",0.07866,10000,10000,0.003
"F-226.To.F-215","AC","F-226","F-215",0.05082,10000,10000,0.003
"F-226.To.F-215.(2)","AC","F-226","F-215",0.03302,10000,10000,0.003
"F-229.To.F-215","AC","F-229","F-215",0.07263,10000,10000,0.003
"F-229.To.F-215.(2)","AC","F-229","F-215",0.07749,10000,10000,0.003
"F-215.To.F-231","AC","F-215","F-231",0.04424,10000,10000,0.003
"F-236.To.F-215","AC","F-236","F-215",0.03606,10000,10000,0.003
"F-215.To.F-259","AC","F-215","F-259",0.02478,10000,10000,0.003
"F-216.To.F-223","AC","F-216","F-223",0.05917,10000,10000,0.003
"F-219.To.F-232","AC","F-219","F-232",0.01883,10000,10000,0.003
"F-220.To.F-244","AC","F-220","F-244",0.09296,10000,10000,0.003
"F-221/22.To.F-242","AC","F-221/22","F-242",0.07514,10000,10000,0.003
"F-221/22.To.F-245","AC","F-221/22","F-245",0.11544,10000,10000,0.003
"F-221/22.To.F-247","AC","F-221/22","F-247",0.10221,10000,10000,0.003
"F-223.To.F-230","AC","F-223","F-230",0.01994,10000,10000,0.003
"F-224.To.F-238","AC","F-224","F-238",0.00814,10000,10000,0.003
"F-225.To.F-236","AC","F-225","F-236",0.00705,10000,10000,0.003
"F-225.To.F-236.(2)","AC","F-225","F-236",0.03393,10000,10000,0.003
"F-226.To.F-259","AC","F-226","F-259",0.01678,10000,10000,0.003
"F-227.To.F-234","AC","F-227","F-234",0.02751,10000,10000,0.003
"F-227.To.F-255","AC","F-227","F-255",0.09591,10000,10000,0.003
"F-227.To.F-255.(2)","AC","F-227","F-255",0.09887,10000,10000,0.003
"F-228.To.F-232","AC","F-228","F-232",0.04955,10000,10000,0.003
"F-235.To.F-229","AC","F-235","F-229",0.03464,10000,10000,0.003
"F-230.To.F-236","AC","F-230","F-236",0.0307,10000,10000,0.003
"F-231.To.F-249","AC","F-231","F-249",0.04998,10000,10000,0.003
"F-236.To.F-233","AC","F-236","F-233",0.00772,10000,10000,0.003
"F-234.To.F-237","AC","F-234","F-237",0.08585,10000,10000,0.003
"F-234.To.F-246","AC","F-234","F-246",0.03121,10000,10000,0.003
"F-252.To.F-234","AC","F-252","F-234",0.10285,10000,10000,0.003
"F-234.To.F-255","AC","F-234","F-255",0.02843,10000,10000,0.003
"F-234.To.F-261","AC","F-234","F-261",0.09565,10000,10000,0.003
"F-244.To.F-235","AC","F-244","F-235",0.06348,10000,10000,0.003
"F-236.To.F-243","AC","F-236","F-243",0.01403,10000,10000,0.003
"F-236.To.F-251","AC","F-236","F-251",0.0551,10000,10000,0.003
"F-236.To.F-251.(2)","AC","F-236","F-251",0.0517,10000,10000,0.003
"F-237.To.F-252","AC","F-237","F-252",0.04727,10000,10000,0.003
"F-238.To.F-247","AC","F-238","F-247",0.00409,10000,10000,0.003
"F-255.To.F-239","AC","F-255","F-239",0.0546,10000,10000,0.003
"F-240.To.F-247","AC","F-240","F-247",0.06558,10000,10000,0.003
"F-241.To.F-251","AC","F-241","F-251",0.03259,10000,10000,0.003
"F-242.To.F-247","AC","F-242","F-247",0.03646,10000,10000,0.003
"F-243.To.F-258","AC","F-243","F-258",0.04086,10000,10000,0.003
"F-248.To.F-244","AC","F-248","F-244",0.07122,10000,10000,0.003
"F-244.To.F-254","AC","F-244","F-254",0.05305,10000,10000,0.003
"F-244.To.F-257","AC","F-244","F-257",0.10236,10000,10000,0.003
"F-244.To.F-264","AC","F-244","F-264",0.10878,10000,10000,0.003
"F-245.To.F-253","AC","F-245","F-253",0.04107,10000,10000,0.003
"F-247.To.F-253","AC","F-247","F-253",0.06636,10000,10000,0.003
"F-247.To.F-263","AC","F-247","F-263",0.01266,10000,10000,0.003
"F-247.To.F-263.(2)","AC","F-247","F-263",0.01118,10000,10000,0.003
"F-266.To.F-247","AC","F-266","F-247",0.09873,10000,10000,0.003
"F-247.To.F-279","AC","F-247","F-279",0.03919,10000,10000,0.003
"F-248.To.F-255","AC","F-248","F-255",0.04844,10000,10000,0.003
"F-256.To.F-250","AC","F-256","F-250",0.03029,10000,10000,0.003
"F-253.To.F-265","AC","F-253","F-265",0.05147,10000,10000,0.003
"F-255.To.F-254","AC","F-255","F-254",0.07039,10000,10000,0.003
"F-255.To.F-260","AC","F-255","F-260",0.02813,10000,10000,0.003
"F-261.To.F-255","AC","F-261","F-255",0.06368,10000,10000,0.003
"F-255.To.F-268","AC","F-255","F-268",0.05905,10000,10000,0.003
"F-312.To.F-255","AC","F-312","F-255",0.06879,10000,10000,0.003
"F-256.To.F-267","AC","F-256","F-267",0.04352,10000,10000,0.003
"F-257.To.F-267","AC","F-257","F-267",0.07845,10000,10000,0.003
"F-269.To.F-258","AC","F-269","F-258",0.06319,10000,10000,0.003
"F-258.To.F-270","AC","F-258","F-270",0.05317,10000,10000,0.003
"F-259.To.F-267","AC","F-259","F-267",0.00655,10000,10000,0.003
"F-259.To.F-275","AC","F-259","F-275",0.01489,10000,10000,0.003
"F-261.To.F-277","AC","F-261","F-277",0.0983,10000,10000,0.003
"F-261.To.F-292","AC","F-261","F-292",0.15216,10000,10000,0.003
"F-262.To.F-263","AC","F-262","F-263",0.02552,10000,10000,0.003
"F-262.To.F-263.(2)","AC","F-262","F-263",0.01841,10000,10000,0.003
"F-263.To.F_canteg","AC","F-263","F_canteg",0.03013,10000,10000,0.003
"F-263.To.F_canteg.(2)","AC","F-263","F_canteg",0.02924,10000,10000,0.003
"F-267.To.F-264","AC","F-267","F-264",0.06565,10000,10000,0.003
"F-265.To.F-292","AC","F-265","F-292",0.11211,10000,10000,0.003
"F-266.To.F-273","AC","F-266","F-273",0.06618,10000,10000,0.003
"F-267.To.F-272","AC","F-267","F-272",0.07784,10000,10000,0.003
"F-267.To.F-274.(2)","AC","F-267","F-274",0.06449,10000,10000,0.003
"F-267.To.F-275","AC","F-267","F-275",0.04618,10000,10000,0.003
"F-275.To.F-267.(2)","AC","F-275","F-267",0.00733,10000,10000,0.003
"F-268.To.F-277","AC","F-268","F-277",0.07318,10000,10000,0.003
"F-276.To.F-269","AC","F-276","F-269",0.06132,10000,10000,0.003
"F-270.To.F-271","AC","F-270","F-271",0.02845,10000,10000,0.003
"F-276.To.F-271","AC","F-276","F-271",0.02975,10000,10000,0.003
"F-271.To.F-282","AC","F-271","F-282",0.0557,10000,10000,0.003
"F-272.To.F-275","AC","F-272","F-275",0.02979,10000,10000,0.003
"F-278.To.F-272","AC","F-278","F-272",0.06131,10000,10000,0.003
"F-273.To.F-279","AC","F-273","F-279",0.03986,10000,10000,0.003
"F-274.To.F-291","AC","F-274","F-291",0.05802,10000,10000,0.003
"F-275.To.F-283","AC","F-275","F-283",0.00684,10000,10000,0.003
"F-285.To.F-275","AC","F-285","F-275",0.0232,10000,10000,0.003
"F-275.To.F-287","AC","F-275","F-287",0.02718,10000,10000,0.003
"F-294.To.F-275","AC","F-294","F-275",0.02056,10000,10000,0.003
"F-275.To.F-299","AC","F-275","F-299",0.01952,10000,10000,0.003
"F-276.To.F-287","AC","F-276","F-287",0.03089,10000,10000,0.003
"F-277.To.F-278","AC","F-277","F-278",0.11453,10000,10000,0.003
"F-281.To.F-277","AC","F-281","F-277",0.08441,10000,10000,0.003
"F-277.To.F-296","AC","F-277","F-296",0.06272,10000,10000,0.003
"F-277.To.F-301","AC","F-277","F-301",0.08724,10000,10000,0.003
"F-279.To.F-292","AC","F-279","F-292",0.06645,10000,10000,0.003
"F-279.To.F-292.(2)","AC","F-279","F-292",0.06303,10000,10000,0.003
"F-286.To.F-280","AC","F-286","F-280",0.1127,10000,10000,0.003
"F-306.To.F-280","AC","F-306","F-280",0.02394,10000,10000,0.003
"F-281.To.F-300","AC","F-281","F-300",0.0843,10000,10000,0.003
"F-282.To.F-303","AC","F-282","F-303",0.07198,10000,10000,0.003
"F-283.To.F-291","AC","F-283","F-291",0.04878,10000,10000,0.003
"F_canteg.To.F-289","AC","F_canteg","F-289",0.05721,10000,10000,0.003
"F_canteg.To.F-289.(2)","AC","F_canteg","F-289",0.05105,10000,10000,0.003
"F_canteg.To.F_Mougue","AC","F_canteg","F_Mougue",0.10109,10000,10000,0.003
"F_canteg.To.F-311","AC","F_canteg","F-311",0.04201,10000,10000,0.003
"F-290.To.F-285","AC","F-290","F-285",0.03648,10000,10000,0.003
"F-288.To.F-286","AC","F-288","F-286",0.09266,10000,10000,0.003
"F-287.To.F-303","AC","F-287","F-303",0.06976,10000,10000,0.003
"F-287.To.F-310","AC","F-287","F-310",0.06927,10000,10000,0.003
"F-291.To.F-288","AC","F-291","F-288",0.03541,10000,10000,0.003
"F-294.To.F-290","AC","F-294","F-290",0.05126,10000,10000,0.003
"F-291.To.F-303","AC","F-291","F-303",0.04121,10000,10000,0.003
"F-292.To.F-298","AC","F-292","F-298",0.03011,10000,10000,0.003
"F-292.To.F-300","AC","F-292","F-300",0.00871,10000,10000,0.003
"F-302.To.F-292","AC","F-302","F-292",0.09984,10000,10000,0.003
"F-292.To.F-307","AC","F-292","F-307",0.03503,10000,10000,0.003
"F-306.To.F-293","AC","F-306","F-293",0.0516,10000,10000,0.003
"F-295.To.F-294","AC","F-295","F-294",0.03866,10000,10000,0.003
"F-308.To.F-294","AC","F-308","F-294",0.08048,10000,10000,0.003
"F-312.To.F-294","AC","F-312","F-294",0.02324,10000,10000,0.003
"F-296.To.F-308","AC","F-296","F-308",0.04138,10000,10000,0.003
"F-297.To.F-303","AC","F-297","F-303",0.05705,10000,10000,0.003
"F-299.To.F-305","AC","F-299","F-305",0.01632,10000,10000,0.003
"F-299.To.F-306","AC","F-299","F-306",0.01526,10000,10000,0.003
"F-300.To.F-301","AC","F-300","F-301",0.09481,10000,10000,0.003
"F-307.To.F-300","AC","F-307","F-300",0.02506,10000,10000,0.003
"F-307.To.F-300.(2)","AC","F-307","F-300",0.05388,10000,10000,0.003
"F-300.To.F-309","AC","F-300","F-309",0.00737,10000,10000,0.003
"F-317.To.F-300","AC","F-317","F-300",0.02659,10000,10000,0.003
"F-317.To.F-302","AC","F-317","F-302",0.10235,10000,10000,0.003
"F-303.To.F-310","AC","F-303","F-310",0.08183,10000,10000,0.003
"F-307.To.F-316","AC","F-307","F-316",0.05968,10000,10000,0.003
"F-307.To.F-319","AC","F-307","F-319",0.08434,10000,10000,0.003
"F-308.To.F-312","AC","F-308","F-312",0.07335,10000,10000,0.003
"F-308.To.F-314","AC","F-308","F-314",0.03434,10000,10000,0.003
"F-312.To.F-309","AC","F-312","F-309",0.01473,10000,10000,0.003
"F-311.To.F-317","AC","F-311","F-317",0.02571,10000,10000,0.003
"F-311.To.F-318","AC","F-311","F-318",0.05475,10000,10000,0.003
"F-311.To.F_pragne","AC","F-311","F_pragne",0.09265,10000,10000,0.003
"F-312.To.F-313","AC","F-312","F-313",0.03441,10000,10000,0.003
"F-312.To.F-314","AC","F-312","F-314",0.01992,10000,10000,0.003
"F-312.To.F_Baixas","AC","F-312","F_Baixas",0.01345,10000,10000,0.003
"F-315.To.F-317","AC","F-315","F-317",0.06849,10000,10000,0.003
"F-316.To.F-319","AC","F-316","F-319",0.04408,10000,10000,0.003
"F_pragne.To.F-317","AC","F_pragne","F-317",0.10159,10000,10000,0.003
"F-319.To.F-322","AC","F-319","F-322",0.05036,10000,10000,0.003
"B_Zandvl.To.B-2","AC","B_Zandvl","B-2",0.0052,1401,1401,0.003
"NL-new1.To.B_Zandvl","DC","NL-new1","B_Zandvl",0.00776,3290,3290,0.003
"B-2.To.B-4","AC","B-2","B-4",0.00434,1501,1501,0.003
"B-6.To.B-2","AC","B-6","B-2",0.00837,1001,1001,0.003
"B-2.To.B-8","AC","B-2","B-8",0.00753,3101,3101,0.003
"B-2.To.B-10","AC","B-2","B-10",0.00655,2801,2801,0.003
"B-3.To.B-6","AC","B-3","B-6",0.00666,2601,2601,0.003
"B-12Avel.To.B-3","AC","B-12Avel","B-3",0.00998,1401,1401,0.003
"B-4.To.B-5","AC","B-4","B-5",0.01083,801,801,0.003
"B-5.To.B_meerho","AC","B-5","B_meerho",0.01562,1520,1520,0.003
"B-7.To.B-11","AC","B-7","B-11",0.01731,701,701,0.003
"B-9.To.B-12Avel","AC","B-9","B-12Avel",0.00547,2001,2001,0.003
"B-10.To.B-13","AC","B-10","B-13",0.00713,2801,2801,0.003
"B-11.To.B-15","AC","B-11","B-15",0.03154,2001,2001,0.003
"B-13.To.B-17","AC","B-13","B-17",0.00738,2501,2501,0.003
"B-16.To.B_15","AC","B-16","B_15",0.00747,2501,2501,0.003
"B-18.To.B_15","AC","B-18","B_15",0.02322,1801,1801,0.003
"B_15.To.B_Achene","AC","B_15","B_Achene",0.01076,2101,2101,0.003
"B_new1.To.B_15","AC","B_new1","B_15",0.03974,8200,8200,0.003
"B-15.To.B-20","AC","B-15","B-20",0.02688,2001,2001,0.003
"B-17.To.B-16","AC","B-17","B-16",0.00581,2301,2301,0.003
"B-18.To.B-20","AC","B-18","B-20",0.00793,1601,1601,0.003
"B-20.To.B_Aubang","AC","B-20","B_Aubang",0.00885,1301,1301,0.003
"B_Aubang.To.Lx-3","DC","B_Aubang","Lx-3",0.0179,716,716,0.003
"B_meerho.To.B_new1","AC","B_meerho","B_new1",0.0162,1320,1320,0.003
"Lx-1.To.Lx-2","AC","Lx-1","Lx-2",0.01044,501,501,0.003
"D-229.To.Lx-1","AC","D-229","Lx-1",0.01041,900,900,0.003
"Lx-2.To.Lx-3","AC","Lx-2","Lx-3",0.01228,1001,1001,0.003
"Lx-2.To.D-173","AC","Lx-2","D-173",0.02984,1960,1960,0.003
"NL-1.To.NL-2","AC","NL-1","NL-2",0.0033,5270,5270,0.003
"NL-1.To.NL-3","AC","NL-1","NL-3",0.04229,1768,1768,0.003
"NL-2.To.NL_Meede","AC","NL-2","NL_Meede",0.00294,5270,5270,0.003
"NL-4.To.NL-3","AC","NL-4","NL-3",0.0244,1906,1906,0.003
"NL-3.To.NL-6","AC","NL-3","NL-6",0.01393,914,914,0.003
"NL-7.To.NL-4","AC","NL-7","NL-4",0.01628,1906,1906,0.003
"NL_Meede.To.NL-9","AC","NL_Meede","NL-9",0.01774,5270,5270,0.003
"NL_Meede.To.D_Diele","AC","NL_Meede","D_Diele",0.02576,2740,2740,0.003
"NL-6.To.NL-10","AC","NL-6","NL-10",0.03887,557,557,0.003
"NL-7.To.NL-8","AC","NL-7","NL-8",0.02115,1906,1906,0.003
"NL-9.To.NL-8","AC","NL-9","NL-8",0.00797,3290,3290,0.003
"NL-8.To.NL-10","AC","NL-8","NL-10",0.0222,1906,1906,0.003
"NL-13.To.NL-8","AC","NL-13","NL-8",0.01342,3290,3290,0.003
"NL-9.To.NL_Henge","AC","NL-9","NL_Henge",0.01205,3290,3290,0.003
"NL-13.To.NL-11","AC","NL-13","NL-11",0.00663,1900,1900,0.003
"NL_Henge.To.NL-14","AC","NL_Henge","NL-14",0.00937,4890,4890,0.003
"NL_Henge.To.D_Gronau","AC","NL_Henge","D_Gronau",0.01326,3290,3290,0.003
"NL-13.To.NL-17","AC","NL-13","NL-17",0.01101,3290,3290,0.003
"NL-14.To.NL-16","AC","NL-14","NL-16",0.01074,3290,3290,0.003
"NL-17.To.NL-15","AC","NL-17","NL-15",0.01315,5270,5270,0.003
"NL-16.To.NL-19","AC","NL-16","NL-19",0.00537,3290,3290,0.003
"NL-17.To.NL_Geert","AC","NL-17","NL_Geert",0.00906,3290,3290,0.003
"NL_Geert.To.NL-20","AC","NL_Geert","NL-20",0.00605,4935,4935,0.003
"NL-new1.To.NL_Geert","AC","NL-new1","NL_Geert",0.01593,1645,1645,0.003
"NL-19.To.NL_Maasb","AC","NL-19","NL_Maasb",0.00969,4890,4890,0.003
"NL-20.To.NL_Maasb","AC","NL-20","NL_Maasb",0.00679,3290,3290,0.003
"NL_Maasb.To.NL-22","AC","NL_Maasb","NL-22",0.00492,3290,3290,0.003
"NL_Maasb.To.D_Siersd","AC","NL_Maasb","D_Siersd",0.02275,3290,3290,0.003
"NL_Maasb.To.B_new1","DC","NL_Maasb","B_new1",0.03743,2700,2700,0.003
"NL-new1.To.NL_Borss","AC","NL-new1","NL_Borss",0.00993,1645,1645,0.003
"D-6.To.D-1","AC","D-6","D-1",0.03986,1001,1001,0.003
"D-3.To.D-2","AC","D-3","D-2",0.02269,501,501,0.003
"D-2.To.D-7","AC","D-2","D-7",0.04206,501,501,0.003
"D-3.To.D-8","AC","D-3","D-8",0.02512,501,501,0.003
"D-9.To.D-3","AC","D-9","D-3",0.0241,1001,1001,0.003
"D-3.To.D-13","AC","D-3","D-13",0.0606,701,701,0.003
"D-3.To.D-35","AC","D-3","D-35",0.03567,1301,1301,0.003
"D-4.To.D-6","AC","D-4","D-6",0.02119,1001,1001,0.003
"D-5.To.D-9","AC","D-5","D-9",0.00858,1501,1501,0.003
"D-6.To.D-12","AC","D-6","D-12",0.01225,1201,1201,0.003
"D-6.To.D-14","AC","D-6","D-14",0.03268,701,701,0.003
"D-9.To.D-7","AC","D-9","D-7",0.02661,501,501,0.003
"D-9.To.D-8","AC","D-9","D-8",0.04686,501,501,0.003
"D-9.To.D-15","AC","D-9","D-15",0.01264,501,501,0.003
"D-9.To.D-25","AC","D-9","D-25",0.02589,1001,1001,0.003
"D-9.To.D-52","AC","D-9","D-52",0.10217,501,501,0.003
"D-12.To.D-10","AC","D-12","D-10",0.01449,701,701,0.003
"D-10.To.D-14","AC","D-10","D-14",0.02484,701,701,0.003
"D-14.To.D-11","AC","D-14","D-11",0.02963,1001,1001,0.003
"D-12.To.D-14","AC","D-12","D-14",0.01219,1001,1001,0.003
"D-12.To.D-20","AC","D-12","D-20",0.01274,1201,1201,0.003
"D-13.To.D-19","AC","D-13","D-19",0.03211,1001,1001,0.003
"D-41.To.D-13","AC","D-41","D-13",0.0658,1001,1001,0.003
"D-14.To.D-16","AC","D-14","D-16",0.01884,2001,2001,0.003
"D-14.To.D-17","AC","D-14","D-17",0.00837,1001,1001,0.003
"D-16.To.D-18","AC","D-16","D-18",0.02043,501,501,0.003
"D-17.To.D-21","AC","D-17","D-21",0.0047,1001,1001,0.003
"D-23.To.D-17","AC","D-23","D-17",0.00747,501,501,0.003
"D-24.To.D-18","AC","D-24","D-18",0.08865,501,501,0.003
"D-33.To.D-18","AC","D-33","D-18",0.03387,1001,1001,0.003
"D-20.To.D-23","AC","D-20","D-23",0.00528,701,701,0.003
"D-26.To.D-20","AC","D-26","D-20",0.02608,601,601,0.003
"D-20.To.D-49","AC","D-20","D-49",0.02829,1001,1001,0.003
"D-21.To.D-30","AC","D-21","D-30",0.00896,1001,1001,0.003
"D_Connef.To.D-22","AC","D_Connef","D-22",0.02024,1501,1501,0.003
